,Session duration (minutes),Charging duration (minutes),Session idle (minutes),kWh delivered,MAX kW,AVG kW,Cost to site,Cost to driver
count,10779.0,10779.0,10779.0,10779.0,10779.0,10779.0,10779.0,10779.0
mean,138.5116277874089,98.94513869561183,39.28099052033148,8.503271418872238,3.9207086000556632,3.116376565544113,5.100142854883265,2.7378482754643807
std,172.87330665554813,101.87164703265906,140.22591552459764,9.247114678082317,2.9043081088897873,2.6955926161577315,9.24936831539903,7.078002752737413
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,22.7,0.63,0.67,0.113,1.6265,0.076,0.3345,0.322
50%,109.55,73.75,1.77,6.388,3.4,2.897,1.541,1.536
75%,213.385,177.265,29.939999999999998,11.898,6.630000000000001,5.8134999999999994,3.877,2.700199833494113
max,6936.88,786.5,6936.88,72.295,8.434,8.119,285.112,285.112
