"10-digit session UID","Session ID","Session start","Session end","Session duration (minutes)","Charging duration (minutes)","Session idle (minutes)","Estimated Completion Time","kWh delivered","MAX kW","AVG kW","SoC Start","SoC End","User","Vehicle","EVSEID (PFID)","FSE ID","XB Address","Serial #","EVSE type","External Name","Station Name","Site","Site Location","Auth Source","Auth Details","Cost to site","Cost to driver","Fleet","Vehicle barcode"
489311277,"0066040206_2026-06-06 14:05:33.950391_EDGE","2026-06-06 07:05:31.846 -0700","2026-06-06 09:13:32.743 -0700",128.02,121.9,6.12,"2026-06-06 11:05:31.846 -0700",11.21,6.056,5.529,,,291811,39786,"0066-04-02-06","FSE742983E","0013A20041B9026B","SWH01162000381","Webasto DX",,"AD-18 Fleet Only","SB Admin","105 E. Anapamu St, Santa Barbara, CA 93101","App",,4.82,4.82,false,""
489309881,"0066120201_2026-06-06 12:49:29.929751_EDGE","2026-06-06 05:49:27.223 -0700","2026-06-06 13:25:37.280 -0700",456.17,454.45,1.72,"2026-06-06 16:45:27.223 -0700",39.491,6.1,5.45,,,186012,46212,"0066-12-02-01","FSE811682E","0013A20041E487EF","SWH01352100239","Webasto DX",,"2A","SB Jail","4430 Calle Real, Santa Barbara, CA 93110","App",,15.402,15.4,false,""
489309805,"0066120220_2026-06-06 12:42:52.852117_EDGE","2026-06-06 05:42:53.928 -0700","2026-06-06 05:50:48.477 -0700",7.75,7.68,0.07,"2026-06-06 17:50:53.928 -0700",0.708,5.885,5.878,,,275578,48342,"0066-12-02-20","FSE811683E","0013A20041E8817A","SWH01352100215","Webasto DX",,"2B","SB Jail","4430 Calle Real, Santa Barbara, CA 93110","App",,0.276,0.28,false,""
489302711,"0066040227_2026-06-06 03:26:24.504436_EDGE","2026-06-05 20:26:22.474 -0700","2026-06-06 07:55:59.023 -0700",689.62,496.95,192.67,"2026-06-06 08:26:22.474 -0700",45.012,6.708,4.131,,,365471,,"0066-04-02-27","FSE1529511E","0013A20041D88E23","SWH01022100417","Webasto DX",,"27","SB Admin","105 E. Anapamu St, Santa Barbara, CA 93101","App",,19.355,19.355,false,""
489300094,"0066130201_2026-06-06 02:43:41.576232_EDGE","2026-06-05 19:43:39.562 -0700","2026-06-05 19:46:09.337 -0700",2.5,0.12,2.38,"2026-06-06 03:43:39.562 -0700",0.001,0,0,,,,,"0066-13-02-01","FSE811688E","0013A20041E8EE04","SWH01352100242","Webasto DX",,"01","SM PW 620 Foster","620 W. Foster Rd, Santa Maria, CA 93455","Default",,0,0,false,""
489293145,"0066100202_2026-06-06 01:25:10.106067_EDGE","2026-06-05 18:25:07.312 -0700","2026-06-05 19:27:11.580 -0700",62.07,59.77,2.3,"2026-06-05 21:25:07.312 -0700",1.778,1.882,1.748,,,112425,46957,"0066-10-02-02","FSE811674E","0013A20041E4A478","SWH01352100217","Webasto DX",,"02","SB IV Embarcadero","881 Embarcadero del Mar, Isla Vista, CA 93117","App",,0.765,0.765,false,""
489291293,"0066030213_2026-06-06 01:09:59.040502_EDGE","2026-06-05 18:09:56.796 -0700","2026-06-17 09:43:18.697 -0700",16773.37,615.87,16157.5,"2026-06-06 04:09:56.796 -0700",17.583,6.335,0.065,,,,,"0066-03-02-13","FSE596425E","0013A20041EC9AC5","SBE02501870412","Webasto DX",,"LD-3 Fleet Only","LPC Health Services","1100 W. Laurel Ave, Lompoc, CA 93436","Kiosk","kiosk_claim",7.737,7.736,false,""
489286300,"0066160201_2026-06-06 00:36:04.271747_EDGE","2026-06-05 17:36:04.271 -0700","2026-06-06 06:08:08.279 -0700",752.02,677.32,74.7,"2026-06-06 03:12:04.271 -0700",35.434,5.773,2.954,,,345040,41415,"0066-16-02-01",,"0013A200420EE7E6","SWH01502100192","Webasto DX",,"1","SB South County Jail","4434 Calle Real, Santa Barbara, CA 93110","App",,13.819,13.819,false,""
489285741,"0066270215_2026-06-06 00:32:36.764172_EDGE","2026-06-05 17:32:34.564 -0700","2026-06-09 15:14:48.650 -0700",5622.23,304.37,5317.87,"2026-06-06 01:32:34.564 -0700",10.011,6.228,0.112,,,,,"0066-27-02-15",,"0013A20041EF0EDF","SWH01312100152","Webasto DX",,"HS-13 Fleet Only","SM Health Services","2125 Centerpointe Pkwy, Santa Maria, CA 93455","Kiosk","kiosk_claim",4.805,4.805,false,""
489285401,"0066050213_2026-06-06 00:30:30.412865_EDGE","2026-06-05 17:30:28.309 -0700","2026-06-09 11:27:17.244 -0700",5396.82,601.78,4795.03,"2026-06-06 01:30:28.309 -0700",19.452,6.089,0.227,,,,,"0066-05-02-13","FSE688947E","0013A20041B8BED1","SWH01162000031","Webasto DX",,"CR-13 Fleet Only","SB Health Services","315 Camino del Remedio, Santa Barbara, CA  93110","Kiosk","kiosk_claim",7.975,7.975,false,""
489285313,"0066050203_2026-06-06 00:29:53.559948_EDGE","2026-06-05 17:29:51.271 -0700","2026-06-08 08:28:24.580 -0700",3778.55,498.13,3280.42,"2026-06-06 01:29:51.271 -0700",9.246,5.945,0.153,,,,,"0066-05-02-03","FSE688951E","0013A20041BEC60C","SWH01162000400","Webasto DX",,"CR-3 Fleet Only","SB Health Services","315 Camino del Remedio, Santa Barbara, CA  93110","Kiosk","kiosk_claim",3.791,3.791,false,""
489281497,"0066040221_2026-06-06 00:05:34.706134_EDGE","2026-06-05 17:05:32.121 -0700","2026-06-09 17:53:27.770 -0700",5807.93,487.23,5320.7,"2026-06-06 01:05:32.121 -0700",9.7,4.686,0.104,,,,,"0066-04-02-21","FSE742973E","0013A20041B93047","SWH01162000377","Webasto DX",,"AD-8 Fleet Only","SB Admin","105 E. Anapamu St, Santa Barbara, CA 93101","Kiosk","kiosk_claim",4.171,4.171,false,""
489279453,"0066050211_2026-06-05 23:51:53.366448_EDGE","2026-06-05 16:51:51.004 -0700","2026-06-08 08:43:28.001 -0700",3831.62,530.65,3300.97,"2026-06-06 00:51:51.004 -0700",10.063,5.951,0.165,,,,,"0066-05-02-11","FSE688963E","0013A20041B9178B","SWH01172000087","Webasto DX",,"CR-11 Fleet Only","SB Health Services","315 Camino del Remedio, Santa Barbara, CA  93110","Kiosk","kiosk_claim",4.126,4.126,false,""
489279118,"0066040226_2026-06-05 23:49:49.797270_EDGE","2026-06-05 16:49:47.082 -0700","2026-06-05 18:12:05.203 -0700",82.3,0,82.3,"2026-06-06 00:49:47.082 -0700",0,0,0,,,,,"0066-04-02-26","FSE1529510E","0013A20041D88DF5","SWH01022100427","Webasto DX",,"26","SB Admin","105 E. Anapamu St, Santa Barbara, CA 93101","Default",,0,0,false,""
489276286,"0066030221_2026-06-05 23:30:27.115650_EDGE","2026-06-05 16:30:24.865 -0700","2026-06-08 09:52:04.827 -0700",3921.67,647.63,3274.03,"2026-06-06 02:30:24.865 -0700",20.133,6.335,0.323,,,,,"0066-03-02-21","FSE596406E","0013A20041A7C27B","SWH01032000042","Webasto DX",,"LD-9 Fleet Only","LPC Health Services","1100 W. Laurel Ave, Lompoc, CA 93436","Kiosk","kiosk_claim",8.859,8.859,false,""
489273978,"0066070201_2026-06-05 23:11:39.650961_EDGE","2026-06-05 16:11:36.989 -0700","2026-06-05 17:55:04.204 -0700",103.45,97.67,5.78,"2026-06-06 01:11:36.989 -0700",2.671,1.733,1.599,,,278127,41183,"0066-07-02-01","FSE811736E","0013A2004189322B","SWH01352100241","Webasto DX",,"2A","SB CARP South Via Real","6728 Via Real, Carpinteria, CA 93013","App",,1.175,1.18,false,""
489273727,"0066050223_2026-06-05 23:09:13.123630_EDGE","2026-06-05 16:09:11.145 -0700","2026-06-08 11:32:51.544 -0700",4043.67,695.72,3347.95,"2026-06-06 00:09:11.145 -0700",34.116,5.935,0.543,,,,,"0066-05-02-23","FSE689147E","0013A20041B917C8","SWH01162000368","Webasto DX",,"CR-23 Fleet Only","SB Health Services","315 Camino del Remedio, Santa Barbara, CA  93110","Kiosk","kiosk_claim",13.987,13.988,false,""
489273358,"0066270217_2026-06-05 23:05:59.109630_EDGE","2026-06-05 16:05:56.836 -0700","2026-06-08 08:48:11.764 -0700",3882.25,322.83,3559.42,"2026-06-06 00:05:56.836 -0700",7.987,1.698,0.129,,,,,"0066-27-02-17",,"0013A200420EEC60","SWH01312100123","Webasto DX",,"HS-15 Fleet Only","SM Health Services","2125 Centerpointe Pkwy, Santa Maria, CA 93455","Kiosk","kiosk_claim",3.834,3.834,false,""
489273264,"0066070201_2026-06-05 23:05:09.140566_EDGE","2026-06-05 16:05:06.816 -0700","2026-06-05 16:11:21.224 -0700",6.23,0,6.23,"2026-06-06 00:05:06.816 -0700",0,0,0,,,,,"0066-07-02-01","FSE811736E","0013A2004189322B","SWH01352100241","Webasto DX",,"2A","SB CARP South Via Real","6728 Via Real, Carpinteria, CA 93013","Default",,0,0,false,""
489272300,"0066280204_2026-06-05 22:55:57.946928_EDGE","2026-06-05 15:55:55.621 -0700","2026-06-05 16:01:58.201 -0700",6.05,0,6.05,"2026-06-05 23:55:55.621 -0700",0,0,0,,,,,"0066-28-02-04",,"0013A200420EE7C2","SWH01502100169","Webasto DX",,"4","SM Admin","511 Lakeside Pkwy, Santa Maria, CA 93455","Default",,0,0,false,""
489271969,"0066040220_2026-06-05 22:52:41.317451_EDGE","2026-06-05 15:52:39.028 -0700","2026-06-10 14:17:04.259 -0700",7104.42,706.02,6398.4,"2026-06-05 23:52:39.028 -0700",22.545,6.046,0.201,,,,,"0066-04-02-20","FSE742974E","0013A20041B92FED","SWH01172000083","Webasto DX",,"AD-9 Fleet Only","SB Admin","105 E. Anapamu St, Santa Barbara, CA 93101","Kiosk","kiosk_claim",9.694,9.694,false,""
489271885,"0066040218_2026-06-05 22:51:53.729918_EDGE","2026-06-05 15:51:50.979 -0700","2026-06-09 08:23:28.006 -0700",5311.62,380.57,4931.05,"2026-06-05 23:51:50.979 -0700",10.872,3.316,0.128,,,,,"0066-04-02-18","FSE742984E","0013A20041B91CD5","SWH01162000060","Webasto DX",,"AD-19 Fleet Only","SB Admin","105 E. Anapamu St, Santa Barbara, CA 93101","Kiosk","kiosk_claim",4.675,4.675,false,""
489271505,"0066050209_2026-06-05 22:47:41.545933_EDGE","2026-06-05 15:47:38.975 -0700","2026-06-06 07:34:12.325 -0700",946.55,610.12,336.43,"2026-06-05 23:47:38.975 -0700",14.272,6.19,0.95,,,,,"0066-05-02-09","FSE688959E","0013A20041B917BA","SWH01172000085","Webasto DX",,"CR-9 Fleet Only","SB Health Services","315 Camino del Remedio, Santa Barbara, CA  93110","Kiosk","kiosk_claim",5.852,5.852,false,""
489271145,"0066050205_2026-06-05 22:43:15.687924_EDGE","2026-06-05 15:43:13.718 -0700","2026-06-09 07:36:35.712 -0700",5273.37,259.32,5014.05,"2026-06-05 23:43:13.718 -0700",1.757,6.019,0.021,,,,,"0066-05-02-05","FSE688950E","0013A20041B90B3A","SWH01142000056","Webasto DX",,"CR-5 Fleet Only","SB Health Services","315 Camino del Remedio, Santa Barbara, CA  93110","Kiosk","kiosk_claim",0.72,0.721,false,""
489270504,"0066030204_2026-06-05 22:35:19.478266_EDGE","2026-06-05 15:35:17.567 -0700","2026-06-10 08:46:04.999 -0700",6790.78,767.37,6023.42,"2026-06-06 01:35:17.567 -0700",30.231,6.281,0.28,,,,,"0066-03-02-04","FSE596413E","0013A200419B57ED","SBE02511870769","Webasto DX",,"LD-7 Fleet Only","LPC Health Services","1100 W. Laurel Ave, Lompoc, CA 93436","Kiosk","kiosk_claim",13.301,13.301,false,""
