filename,filepath,latitude,longitude,heading,fov,timestamp,location_id,file_size_bytes,success,error_message
orcutt_0001_h000_20250709_230749.jpg,site_data/raw_images/orcutt_0001_h000_20250709_230749.jpg,34.859150128233075,-120.45098754530483,0,90,20250709_230749,orcutt_0001,8839,True,
orcutt_0001_h090_20250709_230750.jpg,site_data/raw_images/orcutt_0001_h090_20250709_230750.jpg,34.859150128233075,-120.45098754530483,90,90,20250709_230750,orcutt_0001,8839,True,
orcutt_0001_h180_20250709_230750.jpg,site_data/raw_images/orcutt_0001_h180_20250709_230750.jpg,34.859150128233075,-120.45098754530483,180,90,20250709_230750,orcutt_0001,8839,True,
orcutt_0001_h270_20250709_230750.jpg,site_data/raw_images/orcutt_0001_h270_20250709_230750.jpg,34.859150128233075,-120.45098754530483,270,90,20250709_230750,orcutt_0001,8839,True,
orcutt_0002_h000_20250709_230750.jpg,site_data/raw_images/orcutt_0002_h000_20250709_230750.jpg,34.859150128233075,-120.44981667114453,0,90,20250709_230750,orcutt_0002,8839,True,
orcutt_0002_h090_20250709_230750.jpg,site_data/raw_images/orcutt_0002_h090_20250709_230750.jpg,34.859150128233075,-120.44981667114453,90,90,20250709_230750,orcutt_0002,8839,True,
orcutt_0002_h180_20250709_230751.jpg,site_data/raw_images/orcutt_0002_h180_20250709_230751.jpg,34.859150128233075,-120.44981667114453,180,90,20250709_230751,orcutt_0002,8839,True,
orcutt_0002_h270_20250709_230751.jpg,site_data/raw_images/orcutt_0002_h270_20250709_230751.jpg,34.859150128233075,-120.44981667114453,270,90,20250709_230751,orcutt_0002,8839,True,
orcutt_0003_h000_20250709_230751.jpg,site_data/raw_images/orcutt_0003_h000_20250709_230751.jpg,34.859150128233075,-120.44864579698424,0,90,20250709_230751,orcutt_0003,8839,True,
orcutt_0003_h090_20250709_230751.jpg,site_data/raw_images/orcutt_0003_h090_20250709_230751.jpg,34.859150128233075,-120.44864579698424,90,90,20250709_230751,orcutt_0003,8839,True,
orcutt_0003_h180_20250709_230752.jpg,site_data/raw_images/orcutt_0003_h180_20250709_230752.jpg,34.859150128233075,-120.44864579698424,180,90,20250709_230752,orcutt_0003,8839,True,
orcutt_0003_h270_20250709_230752.jpg,site_data/raw_images/orcutt_0003_h270_20250709_230752.jpg,34.859150128233075,-120.44864579698424,270,90,20250709_230752,orcutt_0003,8839,True,
orcutt_0004_h000_20250709_230752.jpg,site_data/raw_images/orcutt_0004_h000_20250709_230752.jpg,34.859150128233075,-120.44747492282394,0,90,20250709_230752,orcutt_0004,8839,True,
orcutt_0004_h090_20250709_230752.jpg,site_data/raw_images/orcutt_0004_h090_20250709_230752.jpg,34.859150128233075,-120.44747492282394,90,90,20250709_230752,orcutt_0004,8839,True,
orcutt_0004_h180_20250709_230753.jpg,site_data/raw_images/orcutt_0004_h180_20250709_230753.jpg,34.859150128233075,-120.44747492282394,180,90,20250709_230753,orcutt_0004,8839,True,
orcutt_0004_h270_20250709_230753.jpg,site_data/raw_images/orcutt_0004_h270_20250709_230753.jpg,34.859150128233075,-120.44747492282394,270,90,20250709_230753,orcutt_0004,8839,True,
orcutt_0005_h000_20250709_230753.jpg,site_data/raw_images/orcutt_0005_h000_20250709_230753.jpg,34.859150128233075,-120.44630404866365,0,90,20250709_230753,orcutt_0005,8839,True,
orcutt_0005_h090_20250709_230753.jpg,site_data/raw_images/orcutt_0005_h090_20250709_230753.jpg,34.859150128233075,-120.44630404866365,90,90,20250709_230753,orcutt_0005,8839,True,
